Mês,PortoAustraliano,PortoEstrangeiro,País,PassageirosEntrada,FreteEntrada_(toneladas),CorreioEntrada_(toneladas),PassageirosSaída,FreteSaída_(toneladas),CorreioSaída_(toneladas),PassageirosTotal,FreteTotal_(toneladas),CorreioTotal_(toneladas),Ano,NúmeroDoMês,Status
Jan-85,Adelaide,Auckland,New Zealand,1513,42.167,0.311,985,18.704,0.924,2498,60.871,1.235,1985,1,Baixo
Jan-85,Adelaide,Bahrain,Bahrain,12,0.0,0.0,5,0.033,0.0,17,0.033,0.0,1985,1,Baixo
Jan-85,Adelaide,Bombay,India,7,0.0,0.0,5,0.0,0.0,12,0.0,0.0,1985,1,Baixo
Jan-85,Adelaide,Frankfurt,Germany,115,0.009,0.0,171,0.0,0.248,286,0.009,0.248,1985,1,Baixo
Jan-85,Adelaide,London,UK,1567,2.8,0.0,1472,10.618,2.487,3039,13.418,2.487,1985,1,Baixo
Jan-85,Adelaide,Muscat,Oman,17,0.0,0.0,14,0.1,0.0,31,0.1,0.0,1985,1,Baixo
Jan-85,Adelaide,Rome,Italy,79,0.005,0.0,44,0.0,0.0,123,0.005,0.0,1985,1,Baixo
Jan-85,Adelaide,Singapore,Singapore,2496,37.345,0.0,2037,133.203,0.112,4533,170.548,0.112,1985,1,Baixo
Jan-85,Brisbane,Abu Dhabi,United Arab Emirates,0,0.0,0.0,3,0.0,0.0,3,0.0,0.0,1985,1,Baixo
Jan-85,Brisbane,Auckland,New Zealand,7157,223.258,0.671,5652,33.032,3.218,12809,256.29,3.889,1985,1,Muito alto
Jan-85,Brisbane,Bahrain,Bahrain,12,0.0,0.0,15,0.149,0.0,27,0.149,0.0,1985,1,Baixo
Jan-85,Brisbane,Bangkok,Thailand,623,7.746,0.0,414,3.995,0.0,1037,11.741,0.0,1985,1,Baixo
Jan-85,Brisbane,Bombay,India,55,0.0,0.0,34,0.002,0.083,89,0.002,0.083,1985,1,Baixo
Jan-85,Brisbane,Christchurch,New Zealand,3148,132.129,0.256,2057,13.745,0.0,5205,145.874,0.256,1985,1,Muito alto
Jan-85,Brisbane,Frankfurt,Germany,122,0.0,0.0,161,0.021,0.677,283,0.021,0.677,1985,1,Baixo
Jan-85,Brisbane,Hong Kong,Hong Kong,1911,9.352,0.0,1163,38.95,0.014,3074,48.302,0.014,1985,1,Baixo
Jan-85,Brisbane,Honiara,Solomon Islands,574,3.227,0.0,578,12.322,0.0,1152,15.549,0.0,1985,1,Baixo
Jan-85,Brisbane,Honolulu,USA,447,6.618,0.0,207,0.433,0.0,654,7.051,0.0,1985,1,Baixo
Jan-85,Brisbane,Kuala Lumpur,Malaysia,45,0.1,0.0,38,0.1,0.0,83,0.2,0.0,1985,1,Baixo
Jan-85,Brisbane,London,UK,1753,4.3,0.0,1449,1.861,3.454,3202,6.161,3.454,1985,1,Baixo
Jan-85,Brisbane,Los Angeles,USA,57,2.796,0.0,0,0.0,0.0,57,2.796,0.0,1985,1,Baixo
Jan-85,Brisbane,Manila,Philippines,1095,3.911,0.0,710,12.12,0.127,1805,16.031,0.127,1985,1,Baixo
Jan-85,Brisbane,Muscat,Oman,4,0.0,0.0,0,0.0,0.0,4,0.0,0.0,1985,1,Baixo
Jan-85,Brisbane,Nadi,Fiji,809,4.12,0.0,530,4.914,0.0,1339,9.034,0.0,1985,1,Baixo
Jan-85,Brisbane,Noumea,New Caledonia,384,0.248,0.0,247,0.167,0.0,631,0.415,0.0,1985,1,Baixo
Jan-85,Brisbane,Port Moresby,Papua New Guinea,2011,20.256,0.448,1917,33.194,2.643,3928,53.45,3.091,1985,1,Baixo
Jan-85,Brisbane,Port Vila,Vanuatu,459,0.365,0.0,228,2.735,0.0,687,3.1,0.0,1985,1,Baixo
Jan-85,Brisbane,Rome,Italy,38,0.0,0.0,34,0.012,0.113,72,0.012,0.113,1985,1,Baixo
Jan-85,Brisbane,San Francisco,USA,458,0.0,0.0,315,1.716,1.538,773,1.716,1.538,1985,1,Baixo
Jan-85,Brisbane,Singapore,Singapore,2730,38.395,0.0,1863,63.976,0.221,4593,102.371,0.221,1985,1,Baixo
Jan-85,Brisbane,Suva,Fiji,53,0.303,0.0,76,0.034,0.0,129,0.337,0.0,1985,1,Baixo
Jan-85,Brisbane,Tokyo,Japan,536,4.085,0.0,384,4.713,0.212,920,8.798,0.212,1985,1,Baixo
Jan-85,Brisbane,Vancouver,Canada,142,0.937,0.0,86,0.502,0.467,228,1.439,0.467,1985,1,Baixo
Jan-85,Brisbane,Wellington,New Zealand,1244,40.824,0.279,1017,9.757,0.366,2261,50.581,0.645,1985,1,Baixo
Jan-85,Cairns,Honolulu,USA,270,0.118,0.0,161,0.431,0.0,431,0.549,0.0,1985,1,Baixo
Jan-85,Cairns,Los Angeles,USA,22,0.0,0.0,0,0.0,0.0,22,0.0,0.0,1985,1,Baixo
Jan-85,Cairns,Port Moresby,Papua New Guinea,995,0.747,0.0,937,10.186,0.0,1932,10.933,0.0,1985,1,Baixo
Jan-85,Cairns,San Francisco,USA,314,0.0,0.0,190,1.124,0.0,504,1.124,0.0,1985,1,Baixo
Jan-85,Cairns,Vancouver,Canada,82,0.454,0.0,41,0.002,0.0,123,0.456,0.0,1985,1,Baixo
Jan-85,Darwin,Auckland,New Zealand,379,5.529,0.0,108,0.209,0.031,487,5.738,0.031,1985,1,Baixo
Jan-85,Darwin,Bahrain,Bahrain,0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,1985,1,Baixo
Jan-85,Darwin,Bandar Seri Begawan,Brunei,368,0.187,0.0,230,1.802,0.0,598,1.989,0.0,1985,1,Baixo
Jan-85,Darwin,Bombay,India,0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,1985,1,Baixo
Jan-85,Darwin,Denpasar,Indonesia,846,0.732,0.0,581,0.0,0.0,1427,0.732,0.0,1985,1,Baixo
Jan-85,Darwin,Frankfurt,Germany,0,0.0,0.0,58,0.0,0.013,58,0.0,0.013,1985,1,Baixo
Jan-85,Darwin,Jakarta,Indonesia,36,0.136,0.0,57,0.05,0.0,93,0.186,0.0,1985,1,Baixo
Jan-85,Darwin,London,UK,163,0.0,0.0,80,0.075,0.078,243,0.075,0.078,1985,1,Baixo
Jan-85,Darwin,Rome,Italy,0,0.0,0.0,28,0.025,0.008,28,0.025,0.008,1985,1,Baixo
Jan-85,Darwin,Singapore,Singapore,1150,7.058,0.002,685,0.815,0.031,1835,7.873,0.033,1985,1,Baixo
Jan-85,Hobart,Christchurch,New Zealand,903,7.338,0.086,886,0.669,0.009,1789,8.007,0.095,1985,1,Baixo
Jan-85,Melbourne,Abu Dhabi,United Arab Emirates,19,0.0,0.0,0,0.0,0.0,19,0.0,0.0,1985,1,Baixo
Jan-85,Melbourne,Amsterdam,Netherlands,924,11.689,0.429,565,1.857,3.24,1489,13.546,3.669,1985,1,Baixo
Jan-85,Melbourne,Athens,Greece,1753,21.253,2.337,904,1.222,1.791,2657,22.475,4.128,1985,1,Baixo
Jan-85,Melbourne,Auckland,New Zealand,6039,200.015,0.799,5328,155.065,3.726,11367,355.08,4.525,1985,1,Muito alto
Jan-85,Melbourne,Bahrain,Bahrain,89,0.054,0.0,28,9.694,1.063,117,9.748,1.063,1985,1,Baixo
Jan-85,Melbourne,Bandar Seri Begawan,Brunei,73,0.0,0.0,53,8.0,0.0,126,8.0,0.0,1985,1,Baixo
Jan-85,Melbourne,Bangkok,Thailand,2449,76.724,0.009,1862,132.688,0.409,4311,209.412,0.418,1985,1,Baixo
Jan-85,Melbourne,Beijing,China,544,2.127,0.0,496,0.48,0.0,1040,2.607,0.0,1985,1,Baixo
Jan-85,Melbourne,Belgrade,Yugoslavia,1306,37.979,0.0,797,0.666,0.168,2103,38.645,0.168,1985,1,Baixo
Jan-85,Melbourne,Bombay,India,220,7.737,0.358,258,1.262,0.359,478,8.999,0.717,1985,1,Baixo
Jan-85,Melbourne,Christchurch,New Zealand,3336,98.851,0.619,3193,42.301,0.976,6529,141.152,1.595,1985,1,Muito alto
Jan-85,Melbourne,Colombo,Sri Lanka,198,0.438,0.0,128,2.989,0.0,326,3.427,0.0,1985,1,Baixo
Jan-85,Melbourne,Denpasar,Indonesia,3860,3.737,0.0,2578,0.062,0.0,6438,3.799,0.0,1985,1,Muito alto
Jan-85,Melbourne,Dubai,United Arab Emirates,19,0.072,0.0,27,150.827,0.0,46,150.899,0.0,1985,1,Baixo
Jan-85,Melbourne,Frankfurt,Germany,1254,539.258,3.456,956,210.632,4.378,2210,749.89,7.834,1985,1,Baixo
Jan-85,Melbourne,Hong Kong,Hong Kong,6456,167.102,0.505,4287,305.274,2.148,10743,472.376,2.653,1985,1,Muito alto
Jan-85,Melbourne,Honolulu,USA,2546,12.515,0.0,1266,32.612,0.21,3812,45.127,0.21,1985,1,Baixo
Jan-85,Melbourne,Houston,USA,17,0.0,0.0,0,0.0,0.0,17,0.0,0.0,1985,1,Baixo
Jan-85,Melbourne,Jakarta,Indonesia,144,83.967,0.139,1331,135.274,0.255,1475,219.241,0.394,1985,1,Baixo
Jan-85,Melbourne,Kuala Lumpur,Malaysia,2816,119.461,0.56,2407,157.317,0.099,5223,276.778,0.659,1985,1,Muito alto
Jan-85,Melbourne,Larnaca,Cyprus,23,0.0,0.0,0,0.0,0.0,23,0.0,0.0,1985,1,Baixo
Jan-85,Melbourne,London,UK,3167,142.407,0.274,2545,15.36,16.638,5712,157.767,16.912,1985,1,Muito alto
Jan-85,Melbourne,Los Angeles,USA,2291,244.44,0.0,1770,166.153,0.168,4061,410.593,0.168,1985,1,Baixo
Jan-85,Melbourne,Manchester,UK,435,31.599,0.0,355,0.243,0.0,790,31.842,0.0,1985,1,Baixo
Jan-85,Melbourne,Manila,Philippines,2580,59.913,0.0,1780,43.518,0.15,4360,103.431,0.15,1985,1,Baixo
Jan-85,Melbourne,Mauritius,Mauritius,0,0.0,0.0,29,19.512,0.0,29,19.512,0.0,1985,1,Baixo
Jan-85,Melbourne,Muscat,Oman,166,0.0,0.0,143,47.6,0.0,309,47.6,0.0,1985,1,Baixo
Jan-85,Melbourne,Nadi,Fiji,2833,26.4,0.053,1846,57.065,1.209,4679,83.465,1.262,1985,1,Baixo
Jan-85,Melbourne,Nauru,Nauru,85,0.192,0.0,54,20.749,0.0,139,20.941,0.0,1985,1,Baixo
Jan-85,Melbourne,New York,USA,74,0.335,0.0,0,0.0,0.0,74,0.335,0.0,1985,1,Baixo
Jan-85,Melbourne,Noumea,New Caledonia,684,0.949,0.0,494,11.098,0.099,1178,12.047,0.099,1985,1,Baixo
Jan-85,Melbourne,Papeete,Tahiti,269,0.734,0.0,153,25.735,0.0,422,26.469,0.0,1985,1,Baixo
Jan-85,Melbourne,Port Vila,Vanuatu,176,0.019,0.0,123,8.258,0.0,299,8.277,0.0,1985,1,Baixo
Jan-85,Melbourne,Rome,Italy,1671,60.11,1.105,1314,13.317,1.253,2985,73.427,2.358,1985,1,Baixo
Jan-85,Melbourne,San Francisco,USA,1067,68.061,0.0,783,52.885,14.499,1850,120.946,14.499,1985,1,Baixo
Jan-85,Melbourne,Singapore,Singapore,8882,223.272,2.436,6430,588.709,2.612,15312,811.981,5.048,1985,1,Muito alto
Jan-85,Melbourne,Tokyo,Japan,228,42.059,1.404,333,15.395,0.892,561,57.454,2.296,1985,1,Baixo
Jan-85,Melbourne,Vancouver,Canada,98,0.0,0.0,76,0.181,1.016,174,0.181,1.016,1985,1,Baixo
Jan-85,Melbourne,Wellington,New Zealand,2202,36.85,1.668,1595,33.977,2.231,3797,70.827,3.899,1985,1,Baixo
